clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	Micrococcus_luteus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus_luteus	0.00828605	0.0044624999999999995	0.00828605	0.0048055	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus|t__SGB16676	Micrococcus_luteus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus_luteus	0.00828605	0.0044624999999999995	0.00828605	0.0048055	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia	Rothia	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Rothia	NA	0.026556225	0.01237062	0.0042296999999999994	0.0019168	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_amarae	Rothia_amarae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_amarae	0.024809925	0.01237062	0.0042296999999999994	0.0019168	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_amarae|t__SGB34818	Rothia_amarae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_amarae	0.024809925	0.01237062	0.0042296999999999994	0.0019168	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_endophytica	Rothia_endophytica	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_endophytica	0.0139704	NA	0.0139704	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_endophytica|t__SGB98453	Rothia_endophytica	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_endophytica	0.0139704	NA	0.0139704	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Yaniella	Yaniella	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Yaniella	NA	NA	0.0105456	NA	0.0105456	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Yaniella|s__Yaniella_halotolerans	Yaniella_halotolerans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Yaniella	s__Yaniella_halotolerans	NA	0.0105456	NA	0.0105456	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Yaniella|s__Yaniella_halotolerans|t__SGB33387	Yaniella_halotolerans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Yaniella	s__Yaniella_halotolerans	NA	0.0105456	NA	0.0105456	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Sanguibacteraceae	Sanguibacteraceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	NA	NA	NA	0.0390908	NA	0.0390908	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter	Sanguibacter	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	NA	NA	0.0390908	NA	0.0390908	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_keddieii	Sanguibacter_keddieii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	s__Sanguibacter_keddieii	NA	0.0390908	NA	0.0390908	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_keddieii|t__SGB16046	Sanguibacter_keddieii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	s__Sanguibacter_keddieii	NA	0.0390908	NA	0.0390908	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	Mycobacteriales	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	NA	NA	NA	0.31860934210526315	0.18757067826086957	0.1716743	0.1693332	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae	Corynebacteriaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	NA	NA	0.29620788421052635	0.1710003590909091	0.1284363	0.154502	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium	Corynebacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	NA	0.29620788421052635	0.1710003590909091	0.1284363	0.154502	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17002	Corynebacterium_SGB17002	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17002	0.28052000555555556	0.14965470952380952	0.13804795	0.1185134	1	1
