clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Pseudomonadota|c__CFGB2546|o__OFGB2546|f__FGB2546|g__GGB7511|s__GGB7511_SGB10952	GGB7511_SGB10952	k__Bacteria	p__Pseudomonadota	c__CFGB2546	o__OFGB2546	f__FGB2546	g__GGB7511	s__GGB7511_SGB10952	0.0326266	NA	0.0326266	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB2546|o__OFGB2546|f__FGB2546|g__GGB7511|s__GGB7511_SGB10952|t__SGB10952	GGB7511_SGB10952	k__Bacteria	p__Pseudomonadota	c__CFGB2546	o__OFGB2546	f__FGB2546	g__GGB7511	s__GGB7511_SGB10952	0.0326266	NA	0.0326266	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB33292	CFGB33292	k__Bacteria	p__Pseudomonadota	c__CFGB33292	NA	NA	NA	NA	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292	OFGB33292	k__Bacteria	p__Pseudomonadota	c__CFGB33292	o__OFGB33292	NA	NA	NA	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292	FGB33292	k__Bacteria	p__Pseudomonadota	c__CFGB33292	o__OFGB33292	f__FGB33292	NA	NA	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292|g__GGB48272	GGB48272	k__Bacteria	p__Pseudomonadota	c__CFGB33292	o__OFGB33292	f__FGB33292	g__GGB48272	NA	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292|g__GGB48272|s__GGB48272_SGB66282	GGB48272_SGB66282	k__Bacteria	p__Pseudomonadota	c__CFGB33292	o__OFGB33292	f__FGB33292	g__GGB48272	s__GGB48272_SGB66282	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292|g__GGB48272|s__GGB48272_SGB66282|t__SGB66282	GGB48272_SGB66282	k__Bacteria	p__Pseudomonadota	c__CFGB33292	o__OFGB33292	f__FGB33292	g__GGB48272	s__GGB48272_SGB66282	0.00851705	0.0016072	0.00851705	0.0016072	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	Gammaproteobacteria	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	NA	NA	NA	NA	0.118360155	0.09956222142857142	0.038629250000000004	0.0425943	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	Enterobacterales	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	NA	NA	NA	0.0713095	NA	0.0713095	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	Enterobacteriaceae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	NA	NA	0.0713095	NA	0.0713095	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	Klebsiella	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	NA	0.0639888	NA	0.0639888	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	Klebsiella_pneumoniae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_pneumoniae	0.0639888	NA	0.0639888	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	Klebsiella_pneumoniae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_pneumoniae	0.0639888	NA	0.0639888	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia	Leclercia	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	NA	0.0073207	NA	0.0073207	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata	Leclercia_adecarboxylata	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia_adecarboxylata	0.0073207	NA	0.0073207	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB10147	Leclercia_adecarboxylata	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia_adecarboxylata	0.0073207	NA	0.0073207	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	NA	NA	NA	8.077e-4	NA	8.077e-4	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Candidatus_Competibacteraceae	Candidatus_Competibacteraceae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Candidatus_Competibacteraceae	NA	NA	8.077e-4	NA	8.077e-4	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Candidatus_Competibacteraceae|g__GGB26337	GGB26337	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Candidatus_Competibacteraceae	g__GGB26337	NA	8.077e-4	NA	8.077e-4	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Candidatus_Competibacteraceae|g__GGB26337|s__GGB26337_SGB38421	GGB26337_SGB38421	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Candidatus_Competibacteraceae	g__GGB26337	s__GGB26337_SGB38421	8.077e-4	NA	8.077e-4	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Candidatus_Competibacteraceae|g__GGB26337|s__GGB26337_SGB38421|t__SGB38421	GGB26337_SGB38421	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Candidatus_Competibacteraceae	g__GGB26337	s__GGB26337_SGB38421	8.077e-4	NA	8.077e-4	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	Lysobacterales	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	NA	NA	NA	0.0038525	NA	0.0038525	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae	Lysobacteraceae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	NA	NA	0.0038525	NA	0.0038525	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas	Pseudoxanthomonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	g__Pseudoxanthomonas	NA	0.0038525	NA	0.0038525	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_taiwanensis	Pseudoxanthomonas_taiwanensis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	g__Pseudoxanthomonas	s__Pseudoxanthomonas_taiwanensis	0.0038525	NA	0.0038525	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_taiwanensis|t__SGB88930	Pseudoxanthomonas_taiwanensis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	g__Pseudoxanthomonas	s__Pseudoxanthomonas_taiwanensis	0.0038525	NA	0.0038525	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	Moraxellales	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	NA	NA	NA	0.0229701	0.03844236	0.007593	0.02720515	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	Moraxellaceae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	NA	NA	0.0229701	0.03844236	0.007593	0.02720515	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter	Acinetobacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	NA	NA	0.03978888	NA	0.0342304	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii	Acinetobacter_johnsonii	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_johnsonii	NA	0.03978888	NA	0.0342304	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii|t__SGB10398	Acinetobacter_johnsonii	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_johnsonii	NA	0.03978888	NA	0.0342304	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella	Moraxella	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Moraxella	NA	0.01997621111111111	0.029317825	0.0037564	0.01635545	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis	Moraxella_osloensis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Moraxella	s__Moraxella_osloensis	0.01997621111111111	0.029317825	0.0037564	0.01635545	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	Moraxella_osloensis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Moraxella	s__Moraxella_osloensis	0.01997621111111111	0.029317825	0.0037564	0.01635545	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter	Psychrobacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	NA	0.024957550000000002	0.022735966666666666	0.024957550000000002	0.0269035	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius	Psychrobacter_alimentarius	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_alimentarius	NA	2.62e-4	NA	2.62e-4	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	Psychrobacter_alimentarius	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_alimentarius	NA	2.62e-4	NA	2.62e-4	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis	Psychrobacter_faecalis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_faecalis	0.0214541	0.03397295	0.0214541	0.03397295	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	Psychrobacter_faecalis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_faecalis	0.0214541	0.03397295	0.0214541	0.03397295	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sanguinis	Psychrobacter_sanguinis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_sanguinis	0.028461	NA	0.028461	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sanguinis|t__SGB10442	Psychrobacter_sanguinis	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_sanguinis	0.028461	NA	0.028461	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	Pseudomonadales	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	NA	NA	NA	0.10850168947368422	0.09243533846153847	0.0184188	0.00987035	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	Pseudomonadaceae	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	NA	NA	0.10850168947368422	0.09243533846153847	0.0184188	0.00987035	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	Pseudomonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA	0.10246216842105264	0.09243533846153847	0.0184188	0.00987035	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa	Pseudomonas_aeruginosa	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_aeruginosa	0.09517507368421053	0.09036835384615384	0.014938	0.009533650000000001	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa|t__SGB12320	Pseudomonas_aeruginosa	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_aeruginosa	0.09517507368421053	0.09036835384615384	0.014938	0.009533650000000001	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_juntendi	Pseudomonas_juntendi	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_juntendi	0.1384548	0.0329605	0.1384548	0.0329605	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_juntendi|t__SGB12288	Pseudomonas_juntendi	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_juntendi	0.1384548	0.0329605	0.1384548	0.0329605	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_seleniipraecipitans	Pseudomonas_seleniipraecipitans	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_seleniipraecipitans	NA	0.0207811	NA	0.0207811	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_seleniipraecipitans|t__SGB22863	Pseudomonas_seleniipraecipitans	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_seleniipraecipitans	NA	0.0207811	NA	0.0207811	NA	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Stutzerimonas	Stutzerimonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	NA	0.114751	NA	0.114751	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Stutzerimonas|s__Stutzerimonas_stutzeri	Stutzerimonas_stutzeri	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	s__Stutzerimonas_stutzeri	0.114751	NA	0.114751	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Stutzerimonas|s__Stutzerimonas_stutzeri|t__SGB12382	Stutzerimonas_stutzeri	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	s__Stutzerimonas_stutzeri	0.114751	NA	0.114751	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia	Hydrogenophilia	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	NA	NA	NA	NA	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales	Hydrogenophilales	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__Hydrogenophilales	NA	NA	NA	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales|f__Hydrogenophilaceae	Hydrogenophilaceae	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__Hydrogenophilales	f__Hydrogenophilaceae	NA	NA	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Tepidiphilus	Tepidiphilus	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__Hydrogenophilales	f__Hydrogenophilaceae	g__Tepidiphilus	NA	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Tepidiphilus|s__Tepidiphilus_succinatimandens	Tepidiphilus_succinatimandens	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__Hydrogenophilales	f__Hydrogenophilaceae	g__Tepidiphilus	s__Tepidiphilus_succinatimandens	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Tepidiphilus|s__Tepidiphilus_succinatimandens|t__SGB12605	Tepidiphilus_succinatimandens	k__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__Hydrogenophilales	f__Hydrogenophilaceae	g__Tepidiphilus	s__Tepidiphilus_succinatimandens	0.0927058	0.0070384	0.0927058	0.0070384	1	1
k__Eukaryota	Eukaryota	k__Eukaryota	NA	NA	NA	NA	NA	NA	0.02244775	0.0072007600000000005	0.02349605	0.0013739	1	1
k__Eukaryota|p__Ascomycota	Ascomycota	k__Eukaryota	p__Ascomycota	NA	NA	NA	NA	NA	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	Saccharomycetes	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	NA	NA	NA	NA	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	Saccharomycetales	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	Saccharomycetaceae	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	NA	NA	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	Saccharomyces	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	NA	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	Saccharomyces_cerevisiae	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__Saccharomyces_cerevisiae	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__EUK4932	Saccharomyces_cerevisiae	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__Saccharomyces_cerevisiae	NA	0.0306012	NA	0.0306012	NA	1
k__Eukaryota|p__Basidiomycota	Basidiomycota	k__Eukaryota	p__Basidiomycota	NA	NA	NA	NA	NA	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes	Malasseziomycetes	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	NA	NA	NA	NA	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	Malasseziales	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	NA	NA	NA	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	Malasseziaceae	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	NA	NA	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia	Malassezia	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	NA	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta	Malassezia_restricta	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__Malassezia_restricta	0.02244775	0.00135065	0.02349605	0.0010609	1	1
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta|t__EUK76775	Malassezia_restricta	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__Malassezia_restricta	0.02244775	0.00135065	0.02349605	0.0010609	1	1
